,id_movie,name
0,862,John Lasseter
1,8844,Joe Johnston
2,15602,Howard Deutch
3,31357,Forest Whitaker
4,11862,Charles Shyer
5,949,Michael Mann
6,11860,Sydney Pollack
7,45325,Peter Hewitt
8,9091,Peter Hyams
9,710,Martin Campbell
10,9087,Rob Reiner
11,12110,Mel Brooks
12,21032,Simon Wells
13,10858,Oliver Stone
14,1408,Renny Harlin
15,524,Martin Scorsese
16,4584,Ang Lee
17,5,Quentin Tarantino
17,5,Robert Rodriguez
17,5,Alexandre Rockwell
17,5,Allison Anders
18,9273,Steve Oedekerk
19,11517,Joseph Ruben
20,8012,Barry Sonnenfeld
21,1710,Jon Amiel
22,9691,Richard Donner
23,12665,Victor Salva
24,451,Mike Figgis
25,16420,Oliver Parker
26,9263,Lesli Linka Glatter
27,17015,Roger Michell
28,902,Marc Caro
28,902,Jean-Pierre Jeunet
29,37557,Zhang Yimou
30,9909,John N. Smith
31,63,Terry Gilliam
32,78802,Jean-Jacques Annaud
33,9598,Chris Noonan
34,47018,Christopher Hampton
35,687,Tim Robbins
36,139405,Stephen Low
37,33689,Andy Tennant
38,9603,Amy Heckerling
39,34615,Darrell James Roodt
40,31174,Richard Loncraine
41,11443,Albert Hughes
41,11443,Allen Hughes
42,35196,Michael Hoffman
43,9312,Paul W.S. Anderson
44,577,Gus Van Sant
45,11861,Jocelyn Moorhouse
46,807,David Fincher
47,10530,Eric Goldberg
47,10530,Mike Gabriel
48,8391,Patricia Rozema
49,629,Bryan Singer
50,117164,Richard W. Munchkin
51,11448,Woody Allen
52,49133,Gianni Amelio
53,26441,Holly Goldberg Sloan
54,97406,Ulu Grosbard
55,124057,Robert Tinnell
56,9089,Jodie Foster
57,11010,Michael Radford
58,99040,Robert Lepage
59,11359,Frank Oz
60,17182,John Schlesinger
61,2054,Stephen Herek
62,10607,Paris Barclay
63,19760,Bill Bennett
64,9536,Jason Bloom
65,11525,Farhad Mann
66,40628,James Foley
67,4482,Josiane Balasko
68,10634,F. Gary Gray
69,755,Robert Rodriguez
70,11859,Andrew Sipes
71,28387,Noah Baumbach
72,48750,Claude Lelouch
73,20927,Michael Goldenberg
74,36929,Steve Miner
75,9102,Christian Duguay
76,124626,Susanne Ofteringer
77,27526,Sean Penn
78,9623,Brian Gibson
79,46785,Jafar Panahi
80,400,Gary Fleder
81,880,Marleen Gorris
82,146599,Tim Reid
83,188588,Henry Jaglom
84,8447,Philip Haas
85,10534,Ridley Scott
86,17414,Ken Kwapis
87,13997,Penelope Spheeris
88,2086,John Badham
89,61548,John Duigan
90,9095,Stephen Frears
91,12158,Wes Craven
92,9283,Ted Demme
93,9208,John Woo
94,40154,Kenneth Branagh
95,406,Mathieu Kassovitz
96,45549,Paul W.S. Anderson
97,63076,Nick Broomfield
98,11062,Harold Becker
99,13685,Wes Anderson
100,47475,Nick Castle
101,2045,John Dahl
102,9614,Dennis Dugan
103,688,Clint Eastwood
104,11907,Doris Dörrie
105,10874,Brian Henson
106,89333,Robert Leacock
107,96357,James Bruce
108,197,Mel Gibson
109,103,Martin Scorsese
110,33542,Stanley Tong
111,43566,Barbet Schroeder
112,71754,Mort Ransen
113,43612,Étienne Chatiliez
114,51352,Jon Blair
115,16934,Benjamin Ross
116,10324,Eric Schaeffer
117,78406,Andrew Davis
118,55731,Charles T. Kanganis
119,32119,John N. Smith
120,11066,Reginald Hudlin
121,11104,Wong Kar-wai
122,37975,Giuseppe Tornatore
123,2074,David O. Russell
124,27793,Peter MacDonald
125,44284,Moufida Tlatli
126,290157,Michel Negroponte
127,110972,Bryan Gordon
128,32622,Rebecca Miller
129,73067,Michael Lindsay-Hogg
130,11863,William Friedkin
131,55475,Ángel Muñiz
132,124636,Craig Baldwin
133,9101,David S. Ward
134,123360,Mark Rappaport
135,5757,Dirk Shafer
136,39428,Terence Davies
137,124639,Sandip Ray
138,9302,Jon Avnet
139,11000,Mike Nichols
140,249882,Jakov Sedlar
141,16388,Edward Burns
142,9737,Michael Bay
143,30765,Christopher Cain
144,10474,Scott Kalvert
145,22279,Mike Newell
146,30157,Hal Hartley
147,568,Ron Howard
148,11780,Michael Caton-Jones
149,34996,Abel Ferrara
150,414,Joel Schumacher
151,649,Luis Buñuel
152,1873,John Boorman
153,5894,Wayne Wang
153,5894,Paul Auster
154,1775,Michael Moore
155,8839,Brad Silberling
156,20649,Spike Lee
157,10329,Frank Marshall
158,8963,Tony Scott
159,26564,Terry Zwigoff
160,8068,Robert Rodriguez
161,8512,Carl Franklin
162,1572,John McTiernan
163,13552,Gregg Araki
164,259209,Christopher Menaul
165,6520,Jerry Zucker
166,9073,Dwight H. Little
167,10428,Iain Softley
168,17447,Christopher Ashley
169,9886,Robert Longo
170,9482,Danny Cannon
171,19326,John Fortenberry
172,9344,Larry Clark
173,9071,Tom DiCillo
174,8973,Clive Barker
175,15730,Denys Arcand
176,47608,Antonia Bird
177,2293,Kevin Smith
178,9070,Bryan Spicer
179,68274,David Anspaugh
180,48787,Anthony Waller
181,34574,Michael Almereyda
182,1642,Irwin Winkler
183,11472,Chris Columbus
184,36196,Daisy von Scherler Mayer
185,11980,Gregory Widen
186,58372,Norman René
187,32646,Todd Haynes
188,10533,Roland Joffé
190,10802,Paul Verhoeven
191,10149,Paul Auster
191,10149,Wayne Wang
192,18402,Lasse Hallström
193,9348,Roger Donaldson
194,139408,James Keach
195,281,Kathryn Bigelow
196,5967,Jacques Demy
197,79593,Wesley Strick
198,47939,Martha Coolidge
199,36834,Agnieszka Holland
200,9090,Beeban Kidron
201,3512,Geoff Murphy
202,52856,Diane Keaton
203,77350,Douglas Keeve
204,9560,Alfonso Aráu
205,9804,Kevin Reynolds
206,31611,Desmond Nakano
207,65796,Walter Hill
208,49805,Mike Figgis
209,26258,Greg Beeman
210,50797,Nikita Mikhalkov
211,19155,Milčo Mančevski
212,76,Richard Linklater
213,11017,Tamra Davis
214,37141,Guy Ferland
215,9382,Herbert Ross
216,6715,Peter Horton
217,18256,Stuart Gordon
218,22625,Pat O'Connor
219,2292,Kevin Smith
220,1909,Jeremy Leven
221,8984,Barry Levinson
222,61813,René Bonnière
223,4954,John Badham
224,62488,Jack Baran
225,10531,Roman Polanski
226,11929,Taylor Hackford
227,8467,Peter Farrelly
227,8467,Bobby Farrelly
228,10451,Ang Lee
229,20156,Atom Egoyan
230,18395,Garry Marshall
231,522,Tim Burton
232,397,Lawrence Kasdan
233,10525,Billy Crystal
234,27985,Phillip Borsos
235,15789,Paul Brizzi
235,15789,Kevin Lima
236,27303,Brett Leonard
237,21183,Carlo Carlei
238,10954,Gérard Corbiau
239,47867,Mark Lewis
240,43475,Art Clokey
241,72031,Charles Burnett
242,14275,Steve James
243,1024,Peter Jackson
244,17207,Randall Miller
245,13701,Bernard Rose
246,14819,Steven Brill
247,32631,J. F. Lawton
248,11777,Fred Schepisi
249,628,Neil Jordan
250,87729,James Ivory
251,18713,James Melkonian
252,6280,Ivan Reitman
253,9061,Arne Glimcher
254,37108,Michael Gottlieb
255,6071,Barbet Schroeder
256,11,George Lucas
257,9587,Gillian Armstrong
258,19101,Alfonso Cuarón
259,49980,Ken Loach
260,17961,Claude Chabrol
261,18183,Alfonso Aráu
262,4476,Edward Zwick
263,11008,Nick Castle
264,47504,James Gray
265,32325,Allison Anders
266,43742,Glenn Gordon Caron
267,28313,Stephen Gyllenhaal
268,11318,Nicholas Hytner
269,3036,Kenneth Branagh
