,id_movie,title,genres
0,862,Toy Story,animation comedy family
1,8844,Jumanji,adventure family fantasy
2,15602,Grumpier Old Men,comedy romance
3,31357,Waiting to Exhale,comedy drama romance
4,11862,Father of the Bride Part II,comedy
5,949,Heat,action crime drama thriller
6,11860,Sabrina,comedy romance
7,45325,Tom and Huck,action adventure drama family
8,9091,Sudden Death,action adventure thriller
9,710,GoldenEye,action adventure thriller
10,9087,The American President,comedy drama romance
11,12110,Dracula: Dead and Loving It,comedy horror
12,21032,Balto,adventure animation family
13,10858,Nixon,drama history
14,1408,Cutthroat Island,action adventure
15,524,Casino,crime drama
16,4584,Sense and Sensibility,drama romance
17,5,Four Rooms,comedy crime
18,9273,Ace Ventura: When Nature Calls,adventure comedy crime
19,11517,Money Train,action comedy crime
20,8012,Get Shorty,comedy crime thriller
21,1710,Copycat,drama thriller
22,9691,Assassins,action adventure crime thriller
23,12665,Powder,drama fantasy science_fiction thriller
24,451,Leaving Las Vegas,drama romance
25,16420,Othello,drama
26,9263,Now and Then,comedy drama family
27,17015,Persuasion,drama romance
28,902,The City of Lost Children,adventure fantasy science_fiction
29,37557,Shanghai Triad,crime drama
30,9909,Dangerous Minds,crime drama
31,63,Twelve Monkeys,mystery science_fiction thriller
32,78802,Wings of Courage,adventure romance
33,9598,Babe,comedy drama family fantasy
34,47018,Carrington,drama history romance
35,687,Dead Man Walking,drama
36,139405,Across the Sea of Time,adventure drama family history
37,33689,It Takes Two,comedy family romance
38,9603,Clueless,comedy drama romance
39,34615,"Cry, the Beloved Country",drama
40,31174,Richard III,drama war
41,11443,Dead Presidents,action crime drama history
42,35196,Restoration,drama romance
43,9312,Mortal Kombat,action fantasy
44,577,To Die For,comedy drama fantasy thriller
45,11861,How To Make An American Quilt,drama romance
46,807,Se7en,crime mystery thriller
47,10530,Pocahontas,adventure animation drama family
48,8391,When Night Is Falling,drama romance
49,629,The Usual Suspects,crime drama thriller
50,117164,Guardian Angel,action drama thriller
51,11448,Mighty Aphrodite,comedy romance
52,49133,Lamerica,drama foreign
53,26441,The Big Green,action adventure comedy family
54,97406,Georgia,drama
55,124057,Kids of the Round Table,
56,9089,Home for the Holidays,comedy drama romance
57,11010,The Postman,comedy drama romance
58,99040,The Confessional,drama mystery thriller
59,11359,The Indian in the Cupboard,adventure family fantasy
60,17182,Eye for an Eye,drama thriller
61,2054,Mr. Holland's Opus,drama family music
62,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,comedy
63,19760,Two If by Sea,comedy romance
64,9536,Bio-Dome,comedy
65,11525,Lawnmower Man 2: Beyond Cyberspace,action science_fiction
66,40628,Two Bits,drama family
67,4482,French Twist,comedy romance
68,10634,Friday,comedy
69,755,From Dusk Till Dawn,action crime horror thriller
70,11859,Fair Game,action romance thriller
71,28387,Kicking and Screaming,comedy drama romance
72,48750,Les Miserables,drama history
73,20927,Bed of Roses,drama romance
74,36929,Big Bully,comedy family
75,9102,Screamers,horror science_fiction
76,124626,Nico Icon,documentary
77,27526,The Crossing Guard,drama thriller
78,9623,The Juror,drama thriller
79,46785,The White Balloon,drama family
80,400,Things to Do in Denver When You're Dead,crime drama
81,880,Antonia's Line,comedy drama
82,146599,Once Upon a Time... When We Were Colored,drama romance
83,188588,Last Summer in the Hamptons,
84,8447,Angels and Insects,drama romance
85,10534,White Squall,action drama
86,17414,Dunston Checks In,adventure comedy family
87,13997,Black Sheep,comedy
88,2086,Nick of Time,crime drama thriller
89,61548,The Journey of August King,drama
90,9095,Mary Reilly,drama horror romance thriller
91,12158,Vampire in Brooklyn,comedy horror romance
92,9283,Beautiful Girls,comedy drama romance
93,9208,Broken Arrow,action adventure drama thriller
94,40154,A Midwinter's Tale,comedy
95,406,La Haine,drama
96,45549,Shopping,action adventure drama science_fiction thriller
97,63076,Heidi Fleiss: Hollywood Madam,documentary
98,11062,City Hall,drama thriller
99,13685,Bottle Rocket,comedy crime drama
100,47475,Mr. Wrong,comedy romance
101,2045,Unforgettable,drama mystery science_fiction thriller
102,9614,Happy Gilmore,comedy
103,688,The Bridges of Madison County,drama romance
104,11907,Nobody Loves Me,comedy drama family
105,10874,Muppet Treasure Island,action adventure comedy family music
106,89333,Catwalk,documentary
107,96357,Headless Body in Topless Bar,crime
108,197,Braveheart,action drama history war
109,103,Taxi Driver,crime drama
110,33542,Rumble in the Bronx,action comedy crime thriller
111,43566,Before and After,drama thriller
112,71754,Margaret's Museum,drama
113,43612,Happiness Is in the Field,comedy
114,51352,Anne Frank Remembered,documentary drama foreign
115,16934,The Young Poisoner's Handbook,comedy crime drama
116,10324,If Lucy Fell,comedy romance
117,78406,Steal Big Steal Little,comedy drama
118,55731,Race the Sun,action adventure comedy drama family
119,32119,The Boys of St. Vincent,drama
120,11066,Boomerang,comedy romance
121,11104,Chungking Express,comedy drama romance
122,37975,The Star Maker,drama romance
123,2074,Flirting with Disaster,comedy romance
124,27793,The Neverending Story III: Escape from Fantasia,fantasy
125,44284,The Silences of the Palace,drama
126,290157,Jupiter's Wife,
127,110972,Pie in the Sky,comedy romance
128,32622,Angela,comedy drama
129,73067,Frankie Starlight,drama romance war
130,11863,Jade,action mystery romance thriller
131,55475,Nueba Yol,comedy drama romance
132,124636,Sonic Outlaws,documentary music
133,9101,Down Periscope,comedy
134,123360,From the Journals of Jean Seberg,documentary
135,5757,Man of the Year,comedy
136,39428,The Neon Bible,drama
137,124639,Target,
138,9302,Up Close & Personal,drama romance
139,11000,The Birdcage,comedy
140,249882,Virgin Mary,drama
141,16388,The Brothers McMullen,comedy drama romance
142,9737,Bad Boys,action comedy crime thriller
